Frame,Tiempo (Segundos),Objeto,Confianza (%),Nivel de Riesgo
1084,36.13,Vehiculo,92.7,ALTO
1085,36.17,Vehiculo,91.2,MEDIO
1086,36.2,Vehiculo,91.8,MEDIO
1087,36.23,Vehiculo,83.3,MEDIO
1088,36.27,Vehiculo,92.7,ALTO
1089,36.3,Vehiculo,91.1,ALTO
1090,36.33,Vehiculo,93.4,ALTO
1091,36.37,Vehiculo,93.1,ALTO
1092,36.4,Vehiculo,91.7,ALTO
1093,36.43,Vehiculo,90.6,ALTO
1094,36.47,Vehiculo,92.3,ALTO
1095,36.5,Vehiculo,87.3,MEDIO
1096,36.53,Vehiculo,89.6,ALTO
1097,36.57,Vehiculo,90.9,ALTO
1098,36.6,Vehiculo,91.2,ALTO
1099,36.63,Vehiculo,91.1,ALTO
1100,36.67,Vehiculo,90.8,ALTO
1101,36.7,Vehiculo,88.9,ALTO
1102,36.73,Vehiculo,88.1,ALTO
1103,36.77,Vehiculo,92.2,ALTO
1104,36.8,Vehiculo,91.3,ALTO
1105,36.83,Vehiculo,86.1,ALTO
1106,36.87,Vehiculo,92.6,ALTO
1107,36.9,Vehiculo,92.7,ALTO
1108,36.93,Vehiculo,92.8,ALTO
1109,36.97,Vehiculo,87.5,ALTO
1110,37.0,Vehiculo,90.6,MEDIO
1111,37.03,Vehiculo,91.6,MEDIO
1112,37.07,Vehiculo,92.8,ALTO
1113,37.1,Vehiculo,93.2,ALTO
1114,37.13,Vehiculo,93.0,ALTO
1115,37.17,Vehiculo,92.9,ALTO
1116,37.2,Vehiculo,93.1,ALTO
1117,37.23,Vehiculo,93.1,ALTO
1118,37.27,Vehiculo,93.2,ALTO
1119,37.3,Vehiculo,93.2,ALTO
1120,37.33,Vehiculo,93.2,ALTO
1121,37.37,Vehiculo,93.2,ALTO
1122,37.4,Vehiculo,93.3,ALTO
1123,37.43,Vehiculo,93.3,ALTO
1124,37.47,Vehiculo,93.2,ALTO
1125,37.5,Vehiculo,93.2,ALTO
1126,37.53,Vehiculo,93.2,ALTO
1127,37.57,Vehiculo,93.2,ALTO
1128,37.6,Vehiculo,91.7,ALTO
1129,37.63,Vehiculo,91.8,MEDIO
1130,37.67,Vehiculo,87.8,MEDIO
1131,37.7,Vehiculo,92.1,ALTO
1132,37.73,Vehiculo,88.6,ALTO
1133,37.77,Vehiculo,93.7,ALTO
1134,37.8,Vehiculo,93.4,ALTO
1135,37.83,Vehiculo,92.7,ALTO
1136,37.87,Vehiculo,87.9,ALTO
1137,37.9,Vehiculo,91.5,ALTO
1138,37.93,Vehiculo,89.0,ALTO
1139,37.97,Vehiculo,89.1,ALTO
1140,38.0,Vehiculo,90.3,ALTO
1141,38.03,Vehiculo,91.3,ALTO
1142,38.07,Vehiculo,91.0,ALTO
1143,38.1,Vehiculo,90.5,ALTO
1144,38.13,Vehiculo,89.4,ALTO
1145,38.17,Vehiculo,90.7,ALTO
1146,38.2,Vehiculo,92.7,ALTO
1147,38.23,Vehiculo,91.4,ALTO
1148,38.27,Vehiculo,85.4,ALTO
1149,38.3,Vehiculo,92.6,ALTO
1150,38.33,Vehiculo,93.4,ALTO
1151,38.37,Vehiculo,93.4,ALTO
1152,38.4,Vehiculo,93.1,ALTO
1153,38.43,Vehiculo,93.1,ALTO
1154,38.47,Vehiculo,90.5,MEDIO
1155,38.5,Vehiculo,91.4,ALTO
1156,38.53,Vehiculo,93.4,ALTO
1157,38.57,Vehiculo,93.3,ALTO
1158,38.6,Vehiculo,93.2,ALTO
1159,38.63,Vehiculo,93.2,ALTO
1160,38.67,Vehiculo,93.3,ALTO
1161,38.7,Vehiculo,93.1,ALTO
1162,38.73,Vehiculo,93.0,ALTO
1163,38.77,Vehiculo,93.1,ALTO
1164,38.8,Vehiculo,93.2,ALTO
1165,38.83,Vehiculo,93.3,ALTO
1166,38.87,Vehiculo,93.1,ALTO
1167,38.9,Vehiculo,92.9,ALTO
1168,38.93,Vehiculo,93.0,ALTO
1169,38.97,Vehiculo,93.1,ALTO
1170,39.0,Vehiculo,93.0,ALTO
1171,39.03,Vehiculo,91.8,ALTO
1172,39.07,Vehiculo,91.5,MEDIO
1173,39.1,Vehiculo,89.5,MEDIO
1174,39.13,Vehiculo,90.9,ALTO
1175,39.17,Vehiculo,92.6,ALTO
1176,39.2,Vehiculo,93.3,ALTO
1177,39.23,Vehiculo,93.3,ALTO
1178,39.27,Vehiculo,93.1,ALTO
1179,39.3,Vehiculo,90.3,ALTO
1180,39.33,Vehiculo,92.4,ALTO
1181,39.37,Vehiculo,91.6,ALTO
1182,39.4,Vehiculo,89.0,ALTO
1183,39.43,Vehiculo,90.3,ALTO
1184,39.47,Vehiculo,91.6,ALTO
1185,39.5,Vehiculo,90.7,ALTO
1186,39.53,Vehiculo,90.9,ALTO
1187,39.57,Vehiculo,90.8,ALTO
1188,39.6,Vehiculo,91.6,ALTO
1189,39.63,Vehiculo,91.9,ALTO
1190,39.67,Vehiculo,93.0,ALTO
1191,39.7,Vehiculo,87.3,ALTO
1192,39.73,Vehiculo,92.7,ALTO
1193,39.77,Vehiculo,93.5,ALTO
1194,39.8,Vehiculo,93.5,ALTO
1195,39.83,Vehiculo,93.5,ALTO
1196,39.87,Vehiculo,93.3,ALTO
1197,39.9,Vehiculo,89.0,MEDIO
1198,39.93,Vehiculo,90.9,MEDIO
1199,39.97,Vehiculo,92.7,ALTO
1200,40.0,Vehiculo,93.4,ALTO
1201,40.03,Vehiculo,93.2,ALTO
1202,40.07,Vehiculo,93.1,ALTO
