Frame,Tiempo (Segundos),Objeto,Confianza (%),Nivel de Riesgo
120,4.0,Vehiculo,94.5,MEDIO
121,4.03,Vehiculo,94.5,MEDIO
122,4.07,Vehiculo,94.5,MEDIO
123,4.1,Vehiculo,94.3,MEDIO
124,4.13,Vehiculo,94.4,MEDIO
125,4.17,Vehiculo,94.3,MEDIO
126,4.2,Vehiculo,94.4,MEDIO
127,4.23,Vehiculo,94.4,MEDIO
128,4.27,Vehiculo,94.5,MEDIO
129,4.3,Vehiculo,94.4,MEDIO
130,4.33,Vehiculo,94.5,MEDIO
131,4.37,Vehiculo,94.6,MEDIO
132,4.4,Vehiculo,94.6,MEDIO
133,4.43,Vehiculo,94.6,MEDIO
134,4.47,Vehiculo,94.4,MEDIO
135,4.5,Vehiculo,94.4,MEDIO
136,4.53,Vehiculo,94.4,MEDIO
137,4.57,Vehiculo,94.4,MEDIO
138,4.6,Vehiculo,94.4,MEDIO
139,4.63,Vehiculo,94.4,MEDIO
140,4.67,Vehiculo,94.4,MEDIO
141,4.7,Vehiculo,94.5,MEDIO
142,4.73,Vehiculo,94.5,MEDIO
143,4.77,Vehiculo,94.6,MEDIO
144,4.8,Vehiculo,94.6,MEDIO
145,4.83,Vehiculo,94.6,MEDIO
146,4.87,Vehiculo,94.7,MEDIO
147,4.9,Vehiculo,94.6,MEDIO
148,4.93,Vehiculo,94.6,MEDIO
149,4.97,Vehiculo,94.7,MEDIO
150,5.0,Vehiculo,94.8,MEDIO
151,5.03,Vehiculo,94.7,MEDIO
152,5.07,Vehiculo,94.7,MEDIO
153,5.1,Vehiculo,94.7,MEDIO
154,5.13,Vehiculo,94.7,MEDIO
155,5.17,Vehiculo,94.7,MEDIO
156,5.2,Vehiculo,94.7,MEDIO
157,5.23,Vehiculo,94.7,MEDIO
158,5.27,Vehiculo,94.7,MEDIO
159,5.3,Vehiculo,94.7,MEDIO
160,5.33,Vehiculo,94.7,MEDIO
161,5.37,Vehiculo,94.7,MEDIO
162,5.4,Vehiculo,94.7,MEDIO
163,5.43,Vehiculo,94.7,MEDIO
164,5.47,Vehiculo,94.7,MEDIO
165,5.5,Vehiculo,94.7,MEDIO
166,5.53,Vehiculo,94.7,MEDIO
167,5.57,Vehiculo,94.7,MEDIO
168,5.6,Vehiculo,94.8,MEDIO
169,5.63,Vehiculo,94.8,MEDIO
170,5.67,Vehiculo,94.7,MEDIO
171,5.7,Vehiculo,94.8,MEDIO
172,5.73,Vehiculo,94.8,MEDIO
173,5.77,Vehiculo,94.7,MEDIO
174,5.8,Vehiculo,94.8,MEDIO
175,5.83,Vehiculo,94.9,MEDIO
176,5.87,Vehiculo,94.8,MEDIO
177,5.9,Vehiculo,94.9,MEDIO
178,5.93,Vehiculo,94.9,MEDIO
179,5.97,Vehiculo,94.9,MEDIO
180,6.0,Vehiculo,94.9,MEDIO
181,6.03,Vehiculo,94.9,MEDIO
182,6.07,Vehiculo,94.9,MEDIO
183,6.1,Vehiculo,94.9,MEDIO
184,6.13,Vehiculo,94.9,MEDIO
185,6.17,Vehiculo,95.0,MEDIO
186,6.2,Vehiculo,95.0,MEDIO
187,6.23,Vehiculo,94.9,MEDIO
188,6.27,Vehiculo,94.9,MEDIO
189,6.3,Vehiculo,94.8,MEDIO
190,6.33,Vehiculo,94.9,MEDIO
191,6.37,Vehiculo,94.9,MEDIO
192,6.4,Vehiculo,94.9,MEDIO
193,6.43,Vehiculo,95.0,MEDIO
194,6.47,Vehiculo,95.1,MEDIO
195,6.5,Vehiculo,95.1,MEDIO
196,6.53,Vehiculo,95.0,MEDIO
197,6.57,Vehiculo,95.1,MEDIO
198,6.6,Vehiculo,95.1,MEDIO
199,6.63,Vehiculo,95.1,MEDIO
200,6.67,Vehiculo,95.0,MEDIO
201,6.7,Vehiculo,95.1,MEDIO
202,6.73,Vehiculo,95.0,MEDIO
203,6.77,Vehiculo,95.0,MEDIO
204,6.8,Vehiculo,95.1,MEDIO
205,6.83,Vehiculo,95.1,MEDIO
206,6.87,Vehiculo,95.0,MEDIO
207,6.9,Vehiculo,95.0,MEDIO
208,6.93,Vehiculo,94.8,MEDIO
209,6.97,Vehiculo,94.8,MEDIO
210,7.0,Vehiculo,94.9,MEDIO
211,7.03,Vehiculo,94.9,MEDIO
212,7.07,Vehiculo,94.9,MEDIO
213,7.1,Vehiculo,94.8,MEDIO
214,7.13,Vehiculo,94.7,MEDIO
215,7.17,Vehiculo,94.8,MEDIO
216,7.2,Vehiculo,94.8,MEDIO
217,7.23,Vehiculo,94.8,MEDIO
218,7.27,Vehiculo,94.6,MEDIO
219,7.3,Vehiculo,94.6,MEDIO
